run_id,dataset,backbone,experiment_type,item_fold,response_limit,condition,training_seed,item_fold_seed,mask_dropout_seed,data_split_hash,mask_hash,score_file_hash,target_item_list_hash,code_sha,config_hash,best_epoch,validation_log_loss,test_log_loss,auc,brier,ece,n_predictions,n_parameters,start_time_utc,wall_time_s,status
sakt_limited_xes3g5m_1_CharacterLength_2024,xes3g5m,SAKT,response_limited,,1,CharacterLength,2024,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5465607150741245,0.5525393491350222,0.5009042275523599,0.1815659965335715,0.0488779456334382,231280,1060290,2026-08-08T10:10:18Z,4.52930212020874,ok
sakt_limited_xes3g5m_1_CharacterLength_42,xes3g5m,SAKT,response_limited,,1,CharacterLength,42,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5477495634037516,0.5538129063329376,0.5055380903110669,0.1820494219336297,0.0527490865615712,231280,1060290,2026-08-08T10:10:23Z,4.539150953292847,ok
sakt_limited_xes3g5m_1_CharacterLength_123,xes3g5m,SAKT,response_limited,,1,CharacterLength,123,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5449164172877436,0.5513518133076311,0.5033599922315843,0.181201084666478,0.0451785870419576,231280,1060290,2026-08-08T10:10:27Z,4.492159128189087,ok
sakt_limited_xes3g5m_1_CharacterLength_456,xes3g5m,SAKT,response_limited,,1,CharacterLength,456,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5489978427472322,0.5551706196931391,0.490380327000504,0.1823975837225009,0.0537106536627743,231280,1060290,2026-08-08T10:10:32Z,4.520547151565552,ok
sakt_limited_xes3g5m_1_CharacterLength_789,xes3g5m,SAKT,response_limited,,1,CharacterLength,789,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.54571816454763,0.5517720549655782,0.5006267468448327,0.1812448586914355,0.0469074519188119,231280,1060290,2026-08-08T10:10:36Z,4.4518678188323975,ok
sakt_limited_xes3g5m_1_TrainEmpDiff_2024,xes3g5m,SAKT,response_limited,,1,TrainEmpDiff,2024,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5461433866749639,0.5519885717890449,0.5035122974390078,0.1814467209615235,0.0479705086893449,231280,1060290,2026-08-08T10:10:41Z,4.424307823181152,ok
sakt_limited_xes3g5m_1_TrainEmpDiff_42,xes3g5m,SAKT,response_limited,,1,TrainEmpDiff,42,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5473412664040275,0.5532315351916572,0.5083806365727949,0.1819542814760615,0.052081970086135,231280,1060290,2026-08-08T10:10:45Z,4.612316846847534,ok
sakt_limited_xes3g5m_1_TrainEmpDiff_123,xes3g5m,SAKT,response_limited,,1,TrainEmpDiff,123,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.54441063300423,0.5506968555562014,0.5060597564353323,0.1810469766358956,0.0440568186262824,231280,1060290,2026-08-08T10:10:49Z,4.370735168457031,ok
sakt_limited_xes3g5m_1_TrainEmpDiff_456,xes3g5m,SAKT,response_limited,,1,TrainEmpDiff,456,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5483082662458005,0.554310286742722,0.4938733409987394,0.1822205623205415,0.0526548200995967,231280,1060290,2026-08-08T10:10:54Z,4.362060070037842,ok
sakt_limited_xes3g5m_1_TrainEmpDiff_789,xes3g5m,SAKT,response_limited,,1,TrainEmpDiff,789,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.545268520064976,0.5511142821737288,0.5040764926619035,0.1811140944099133,0.0461314106240884,231280,1060290,2026-08-08T10:10:58Z,4.34174370765686,ok
sakt_limited_xes3g5m_3_Standard_2024,xes3g5m,SAKT,response_limited,,3,Standard,2024,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,2d0e67e467419fff209e69e68d79b4f7e1aa7b0805fb78cb49e203bbe09bf711,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5391702729722728,0.5449959719459336,0.5039818261277963,0.1791390254865804,0.0287162421613323,231280,1060289,2026-08-08T10:11:16Z,13.56093406677246,ok
