run_id,dataset,exposure,condition,seed,log_loss,auc,accuracy,n_predictions
junyi_5_TrainEmpDiff_456,junyi,5,TrainEmpDiff,456,0.57554900764788,0.6203181199127945,0.7323662040759255,429105.0
junyi_5_TrainEmpDiff_789,junyi,5,TrainEmpDiff,789,0.595847317546774,0.5514704668372941,0.7199776278533226,429105.0
junyi_10_Standard_2024,junyi,10,Standard,2024,0.5543240824121216,0.6614585884472548,0.7302105545262815,429105.0
junyi_10_Standard_42,junyi,10,Standard,42,0.5562550480348066,0.6600700087531728,0.7310029013877722,429105.0
junyi_10_Standard_123,junyi,10,Standard,123,0.5589987048764002,0.64919024001343,0.7310052318197178,429105.0
junyi_10_Standard_456,junyi,10,Standard,456,0.555705213937793,0.6626916411414334,0.7326202211579916,429105.0
junyi_10_Standard_789,junyi,10,Standard,789,0.5589437215661502,0.6467320795566038,0.7311403968725604,429105.0
junyi_10_LLM-Mini_2024,junyi,10,LLM-Mini,2024,0.5559842401947644,0.6611333573005385,0.7308374407196374,429105.0
junyi_10_LLM-Mini_42,junyi,10,LLM-Mini,42,0.5573517704551763,0.6577634740734005,0.7310029013877722,429105.0
junyi_10_LLM-Mini_123,junyi,10,LLM-Mini,123,0.5602018211152155,0.6418482875451608,0.7312802227892939,429105.0
junyi_10_LLM-Mini_456,junyi,10,LLM-Mini,456,0.5545945251237575,0.6629997409285545,0.732443108330129,429105.0
junyi_10_LLM-Mini_789,junyi,10,LLM-Mini,789,0.5588922844015286,0.6453624467081434,0.7311706924878526,429105.0
junyi_10_LLM-5.4_2024,junyi,10,LLM-5.4,2024,0.5559756732874336,0.6611115832891056,0.730860745039093,429105.0
junyi_10_LLM-5.4_42,junyi,10,LLM-5.4,42,0.5567986794595453,0.6580838999620895,0.7310168839794456,429105.0
junyi_10_LLM-5.4_123,junyi,10,LLM-5.4,123,0.5599786437763794,0.6404016208600911,0.7321797695202806,429105.0
junyi_10_LLM-5.4_456,junyi,10,LLM-5.4,456,0.5546893721736977,0.6625404635636574,0.7324943778329314,429105.0
junyi_10_LLM-5.4_789,junyi,10,LLM-5.4,789,0.5586733433319443,0.6458284432231842,0.731089127369758,429105.0
junyi_10_Random-Scalar_2024,junyi,10,Random-Scalar,2024,0.5560361605114749,0.6609700209225952,0.7307209191223594,429105.0
junyi_10_Random-Scalar_42,junyi,10,Random-Scalar,42,0.5563194096262665,0.6623672155547575,0.7310029013877722,429105.0
junyi_10_Random-Scalar_123,junyi,10,Random-Scalar,123,0.5587053120751928,0.6470197263435977,0.7311730229197981,429105.0
junyi_10_Random-Scalar_456,junyi,10,Random-Scalar,456,0.5547862217731352,0.6623701163939465,0.7324081518509455,429105.0
junyi_10_Random-Scalar_789,junyi,10,Random-Scalar,789,0.5586786864643579,0.6459351540220506,0.7311893359434171,429105.0
junyi_10_TrainEmpDiff_2024,junyi,10,TrainEmpDiff,2024,0.5558018232375469,0.6617352393548847,0.730881718926603,429105.0
junyi_10_TrainEmpDiff_42,junyi,10,TrainEmpDiff,42,0.5580572368357265,0.6536283328223005,0.7310029013877722,429105.0
junyi_10_TrainEmpDiff_123,junyi,10,TrainEmpDiff,123,0.5616626217767182,0.6342265035369509,0.7313478053157153,429105.0
junyi_10_TrainEmpDiff_456,junyi,10,TrainEmpDiff,456,0.5541385111233407,0.6642840213805886,0.7324827256732035,429105.0
junyi_10_TrainEmpDiff_789,junyi,10,TrainEmpDiff,789,0.5599361475375713,0.6402317727912646,0.7311963272392538,429105.0
junyi_20_Standard_2024,junyi,20,Standard,2024,0.5393247657547013,0.6968793892806678,0.7378543713077219,429105.0
junyi_20_Standard_42,junyi,20,Standard,42,0.5364328324057736,0.7008530160198136,0.7373579893033174,429105.0
junyi_20_Standard_123,junyi,20,Standard,123,0.5416036677679185,0.689443220093163,0.7347385837965067,429105.0
junyi_20_Standard_456,junyi,20,Standard,456,0.5414010612121055,0.690579102753034,0.7349529835354983,429105.0
junyi_20_Standard_789,junyi,20,Standard,789,0.540763020411376,0.6950818711347535,0.7360739213013132,429105.0
junyi_20_LLM-Mini_2024,junyi,20,LLM-Mini,2024,0.5386887472632935,0.698372580282588,0.7368919029142051,429105.0
junyi_20_LLM-Mini_42,junyi,20,LLM-Mini,42,0.5344544898255028,0.7033791006380681,0.7392386478833852,429105.0
junyi_20_LLM-Mini_123,junyi,20,LLM-Mini,123,0.5435217942256182,0.6838347801630802,0.7348294706423836,429105.0
junyi_20_LLM-Mini_456,junyi,20,LLM-Mini,456,0.5397259649215237,0.6914518244804977,0.7365703033057177,429105.0
junyi_20_LLM-Mini_789,junyi,20,LLM-Mini,789,0.5404080289409093,0.6945185518253482,0.7352606005523123,429105.0
junyi_20_LLM-5.4_2024,junyi,20,LLM-5.4,2024,0.5387148684866334,0.6982450051831474,0.7368965637780963,429105.0
junyi_20_LLM-5.4_42,junyi,20,LLM-5.4,42,0.5346211033100634,0.7031610981719448,0.7390335698721758,429105.0
junyi_20_LLM-5.4_123,junyi,20,LLM-5.4,123,0.5436251044786352,0.6829098536458683,0.735990025751273,429105.0
junyi_20_LLM-5.4_456,junyi,20,LLM-5.4,456,0.5398483486542267,0.6910774239148143,0.7364724251640041,429105.0
junyi_20_LLM-5.4_789,junyi,20,LLM-5.4,789,0.5404714782535206,0.694247855908531,0.7352745831439857,429105.0
junyi_20_Random-Scalar_2024,junyi,20,Random-Scalar,2024,0.5388159551278342,0.6981305972493929,0.7366681814474313,429105.0
junyi_20_Random-Scalar_42,junyi,20,Random-Scalar,42,0.5339251936582031,0.7048437601433981,0.7391221262861072,429105.0
junyi_20_Random-Scalar_123,junyi,20,Random-Scalar,123,0.542378778070589,0.6870503389994567,0.7350065834702462,429105.0
junyi_20_Random-Scalar_456,junyi,20,Random-Scalar,456,0.5399241658752748,0.6911359227862452,0.736616911944629,429105.0
junyi_20_Random-Scalar_789,junyi,20,Random-Scalar,789,0.5402097278419512,0.6950959727302011,0.7353351743745703,429105.0
junyi_20_TrainEmpDiff_2024,junyi,20,TrainEmpDiff,2024,0.538195281784409,0.6993736792447908,0.7370690157420678,429105.0
junyi_20_TrainEmpDiff_42,junyi,20,TrainEmpDiff,42,0.5353553414962527,0.7016358085976746,0.7387282832873073,429105.0
junyi_20_TrainEmpDiff_123,junyi,20,TrainEmpDiff,123,0.5447548018855717,0.6802779726210073,0.7351184442036331,429105.0
junyi_20_TrainEmpDiff_456,junyi,20,TrainEmpDiff,456,0.5389885616607877,0.6930126365680033,0.7367847030447093,429105.0
junyi_20_TrainEmpDiff_789,junyi,20,TrainEmpDiff,789,0.5410882049396017,0.692575383759261,0.7351370876591976,429105.0
junyi_warm_Standard_2024,junyi,warm,Standard,2024,0.4669238186142296,0.7863669677928039,0.7878467974038988,429105.0
junyi_warm_Standard_42,junyi,warm,Standard,42,0.4675773713109688,0.7856613056071766,0.7884014402069424,429105.0
