dataset,exposure,condition,log_loss_mean,log_loss_std,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std
junyi,warm,LLM-Mini,0.4873288696419232,0.04840329482189299,0.7536856256913601,0.0784046370416997,0.1590691752414358,0.019784572993834734,0.01315017198412455,0.018035056675215117
junyi,warm,Random-Scalar,0.48737813273296116,0.04842545920621103,0.7536225685836407,0.0784677781198307,0.15908690728519279,0.019795268355463327,0.013531037341546016,0.0186899963748577
junyi,warm,Standard,0.48713662436520755,0.04858113831684668,0.7539539682951215,0.07826061860572826,0.15901107054807936,0.019853584921831837,0.00957990060792785,0.013463482261088372
junyi,warm,TrainEmpDiff,0.4872903856977659,0.04827380035078323,0.7537696230552178,0.0781587712406647,0.15905105141872963,0.019730293235948188,0.013010398292268901,0.01745792159234926
xes3g5m,0,LLM-5.4,0.6972858634981962,0.035964781860411695,0.496164017493682,0.02272469541926379,0.25204233020417416,0.017839981456930557,0.2693412900431547,0.032058649579959644
xes3g5m,0,LLM-Mini,0.695700080397896,0.03409175284849802,0.496201976652302,0.022631387756595123,0.2512635298695884,0.01692623151087886,0.2679689250522802,0.030955916564912908
xes3g5m,0,Random-Scalar,0.6952500645216171,0.03388137792070961,0.4972741858894123,0.024407945798558768,0.2510412748567853,0.016823668082821683,0.26767810418549826,0.030895014291363168
xes3g5m,0,Standard,0.6946642558502768,0.03160274222477428,0.49704270444798027,0.024121258206364883,0.2507425901946238,0.01568819575788811,0.2673442320715841,0.027572498154346828
xes3g5m,0,TrainEmpDiff,0.6940385625199298,0.033906071030521276,0.49704270696032254,0.02412125864726005,0.2504455374159062,0.016842447760383263,0.2665439718110221,0.03125102796669615
xes3g5m,1,LLM-5.4,0.5587790779534979,0.011338225868359496,0.5544116333581294,0.02230748833351779,0.1847078160962675,0.004473139048163396,0.07775381043152856,0.023425789262906775
xes3g5m,1,LLM-Mini,0.5581626236169807,0.011428570955919669,0.5538812664740324,0.021837954849354073,0.18449976171909724,0.004616545929538821,0.07615002648028177,0.023873141264556377
xes3g5m,1,Random-Scalar,0.5580025992575459,0.011864018487285239,0.5565939752370966,0.02501693593406912,0.18441104105986103,0.004751539056175086,0.07606695319986138,0.024472014335373785
xes3g5m,1,Standard,0.5597858215614712,0.012251933978306487,0.5572434458958065,0.024160651340247294,0.1853910444109981,0.00561429111927286,0.08403387124315122,0.015619278653538493
xes3g5m,1,TrainEmpDiff,0.5587154992670427,0.011724364098697296,0.5542976091144478,0.02157933662721478,0.18466360274282256,0.0045942806184977964,0.0773179460715618,0.023940458269422413
xes3g5m,10,LLM-5.4,0.523160284874033,0.020253057208382514,0.6370916755424599,0.03929120683219152,0.17151403237266857,0.00842245079473112,0.023405927238707002,0.014000918675926828
xes3g5m,10,LLM-Mini,0.5230009126514389,0.02032136843729652,0.6381608123330692,0.040130887691438015,0.1714395718542235,0.008453543481861099,0.024101226543297816,0.015416404695814992
xes3g5m,10,Random-Scalar,0.5227752410509315,0.020372458155043346,0.6397490363801327,0.040790135891263554,0.17134949800497912,0.008470778581258427,0.02529895748520672,0.017213437890068888
xes3g5m,10,Standard,0.5236092271317464,0.020986570349950558,0.6412651247739806,0.04006635080466802,0.1715976537705083,0.008813651356267509,0.0366587542997843,0.004250812289695462
xes3g5m,10,TrainEmpDiff,0.5195104480991333,0.02208809624435695,0.6477539956702737,0.04425294921790513,0.17024551670329227,0.009069216753519727,0.023922278860592398,0.014562757952537263
xes3g5m,20,LLM-5.4,0.5065170946533885,0.02758018489062793,0.6767711314565806,0.05357585581470941,0.16514345303316252,0.011241660907038313,0.024504121602290516,0.009975392174275115
xes3g5m,20,LLM-Mini,0.5063820623452894,0.02765363153751646,0.6768372838398883,0.05369188293267323,0.16510867565642282,0.011262074348494097,0.023607274089139946,0.010043123298061703
xes3g5m,20,Random-Scalar,0.5061285548546318,0.02771791827704987,0.6774643247006026,0.05370260625563329,0.16502594689142872,0.011278017392749149,0.023770495403117136,0.009945553827272049
xes3g5m,20,Standard,0.5087190717443197,0.028011099765093,0.6740614521434128,0.05240937718219433,0.16604008477281418,0.011389342843293127,0.0293315361440539,0.011452623384562505
xes3g5m,20,TrainEmpDiff,0.5024256225423628,0.029550628466375652,0.6853555115834653,0.05804393171411302,0.16379212825710446,0.011897268713508213,0.02469366842890365,0.009454358880086647
xes3g5m,3,LLM-5.4,0.5434676594083315,0.011387614516104004,0.5833796984878817,0.014729565762591533,0.1786492544392049,0.0053206837609389825,0.04629094559696826,0.012179253828432586
xes3g5m,3,LLM-Mini,0.5436803158245395,0.011181239016299416,0.5827235526473294,0.014509528937474116,0.17871943111041766,0.005250838248717469,0.046374809206543965,0.01228388203476583
xes3g5m,3,Random-Scalar,0.5435278819898629,0.011192387944810079,0.5847943648544983,0.014972293782981993,0.17865941436249624,0.005250031072568516,0.04761120836173783,0.012132721011800369
xes3g5m,3,Standard,0.54376205959116,0.012714093371256249,0.5850049575463369,0.015473964432010956,0.17895897424225982,0.00586333742991804,0.05016459818170529,0.0039037534350222945
xes3g5m,3,TrainEmpDiff,0.5418906371756441,0.012073940026795205,0.591729224963412,0.019216992627121416,0.1781312597004396,0.005569037069921856,0.047203793335399286,0.011639906550200908
xes3g5m,5,LLM-5.4,0.5375975372451988,0.013790088323621306,0.5962733297719024,0.022032258598223074,0.17674115958748962,0.006152792649239772,0.0366276913014223,0.00771344021982605
xes3g5m,5,LLM-Mini,0.5378391335544436,0.013628460866713718,0.5955821163994633,0.021773086255828574,0.17682290443072776,0.00609427473729379,0.03668601131098615,0.008164556913970998
xes3g5m,5,Random-Scalar,0.53768389917981,0.013624577732463774,0.5972693760493155,0.022307977725353232,0.17676588315996924,0.006089186732661007,0.03783042826775085,0.008787918332598899
xes3g5m,5,Standard,0.537491885412846,0.015374507522109329,0.5984899409015209,0.021527692841275953,0.1767025138144541,0.0068180716054450545,0.03907852471049727,0.006874355480894102
xes3g5m,5,TrainEmpDiff,0.5348281091836914,0.01518803080733703,0.6081045181494503,0.027918010526954622,0.17581098796714956,0.00662442454547158,0.037294936165688866,0.007862357949017297
xes3g5m,warm,LLM-5.4,0.46628512609944234,0.047621834715871544,0.745284310355844,0.07905172502590296,0.15099165492124572,0.018327460588934343,0.013118114925964,0.012757348982637381
xes3g5m,warm,LLM-Mini,0.4662733839464331,0.04766818249103045,0.7453059796567206,0.07909427889080048,0.15098814806049413,0.018343445980044767,0.013164524807850417,0.012954000770123694
xes3g5m,warm,Random-Scalar,0.46630251380989307,0.04760046331218985,0.7453453734190879,0.07884400828240383,0.15099935952645274,0.018317897572466952,0.0131696514856742,0.012784364252677372
xes3g5m,warm,Standard,0.465908385975176,0.04698614993082133,0.7449693896694543,0.08040665152887153,0.1508679885788767,0.018100992409394008,0.01126033244663815,0.007496129270272307
xes3g5m,warm,TrainEmpDiff,0.46595197461813237,0.0478542258890092,0.7455467229158662,0.07973364590842358,0.15087435504696833,0.018408891349223782,0.012965313885024083,0.01270408948882783
