dataset,backbone,condition,seed,n_folds,status,primary_log_loss,primary_auc,primary_brier,primary_ece,primary_n,secondary_log_loss,secondary_auc,secondary_brier,secondary_ece,secondary_n
junyi,SAKT,Standard,2024,5,ok,0.7465797286375083,0.5742258577234477,0.2660682373019209,0.13167181364506128,49181,0.5239476998455287,0.7074290794002,0.17242417690410355,0.023662605522275434,429105
xes3g5m,GRU,CharacterLength,42,5,ok,0.4922770846476303,0.7091621666409725,0.15993665140699886,0.010324455506150555,222044,0.4878333620844792,0.7099627061528896,0.15811134271038774,0.013725570423463486,231280
xes3g5m,GRU,CharacterLength,123,5,ok,0.4918264793180503,0.7100360128650687,0.15975247193965988,0.012548520960624643,222044,0.48715272005315513,0.7108817744170897,0.1578694300977147,0.01227247630149666,231280
xes3g5m,GRU,CharacterLength,456,5,ok,0.4922544896467745,0.708643516776903,0.15987611328235782,0.0069041052206300505,222044,0.4877058264028943,0.7093054083289418,0.1580088570131091,0.008539197467002062,231280
xes3g5m,GRU,CharacterLength,789,5,ok,0.49176671517061304,0.7099749034307481,0.15971701295771382,0.009814723492438036,222044,0.48710002682840947,0.7107990494785302,0.15782713086697575,0.00965406133937295,231280
xes3g5m,GRU,CharacterLength,2024,5,ok,0.49239710614608934,0.7087344938645028,0.1599952703550788,0.00924547864342114,222044,0.48771063538340004,0.7096138208254452,0.15808946846789032,0.009694645015844322,231280
xes3g5m,GRU,LLM-5.4,42,5,ok,0.49203812381186557,0.7095376024279096,0.15983609430834994,0.010312042295896811,222044,0.48757619510095096,0.7103655584921136,0.15800425729050876,0.013671018649504756,231280
xes3g5m,GRU,LLM-5.4,123,5,ok,0.4916663760317914,0.7103203506438774,0.1596908852443715,0.012406422449974298,222044,0.4869871430985417,0.7111783808578542,0.15780574976631698,0.012002689838705836,231280
xes3g5m,GRU,LLM-5.4,456,5,ok,0.49205960595167997,0.7090094916353771,0.15980113967950646,0.006641930046400511,222044,0.4875106505653645,0.7096824533184707,0.15793385483887556,0.00863169659952247,231280
xes3g5m,GRU,LLM-5.4,789,5,ok,0.49168163842048007,0.7101169009500865,0.1596808499612737,0.009705419645302091,222044,0.4870103418550868,0.7109504130326297,0.15778921301437085,0.009528883257110838,231280
xes3g5m,GRU,LLM-5.4,2024,5,ok,0.49213522487048295,0.70918098895621,0.1598860662836823,0.009306084199765693,222044,0.4874356900006125,0.71008532244183,0.1579756252265062,0.009782687175937803,231280
xes3g5m,GRU,LLM-Mini,42,5,ok,0.492212705239937,0.7092497461897623,0.15990404476927056,0.010789000891007162,222044,0.4877749218714713,0.7100556048636444,0.15808027466852248,0.014177347332901527,231280
xes3g5m,GRU,LLM-Mini,123,5,ok,0.4919324523081347,0.7098665935335391,0.15979491604570695,0.012532571223191387,222044,0.4872547028772457,0.7107141950660063,0.15791065222273093,0.01214895814615981,231280
xes3g5m,GRU,LLM-Mini,456,5,ok,0.4922712175056373,0.7086173233430813,0.15988727483229337,0.006769738204483166,222044,0.4877269178748879,0.7092739882166345,0.15802137101479083,0.008416994601044834,231280
xes3g5m,GRU,LLM-Mini,789,5,ok,0.49193626399351364,0.7096809791086526,0.1597832347008853,0.009909934907154645,222044,0.48727025479400315,0.710504641917824,0.1578933723976397,0.009786638741219432,231280
xes3g5m,GRU,LLM-Mini,2024,5,ok,0.4923439464709988,0.7087973509907061,0.1599623524571342,0.009316955186610926,222044,0.4876596106661424,0.7096727686085305,0.1580572168100834,0.00994088786094609,231280
xes3g5m,GRU,Random-Scalar,42,5,ok,0.4921880795740305,0.7092754033427376,0.15990185177013236,0.010365717096374997,222044,0.48774514555937154,0.7100804452782523,0.15807685905286967,0.013741932852778077,231280
xes3g5m,GRU,Random-Scalar,123,5,ok,0.49168859829885975,0.7102681251921313,0.1596958147247513,0.012539543887919308,222044,0.4870243924614669,0.7110976006094308,0.157816830695952,0.012119571996298031,231280
xes3g5m,GRU,Random-Scalar,456,5,ok,0.49217598799960854,0.7087606973090509,0.15984467588743675,0.006929240215581369,222044,0.48765095169211725,0.7093867245613068,0.15798582109210732,0.00850600931053804,231280
xes3g5m,GRU,Random-Scalar,789,5,ok,0.49159724235529584,0.7102013360561206,0.1596467985181594,0.01000615725228425,222044,0.4869432505980799,0.7110114918730888,0.1577621733850753,0.009464438367133789,231280
xes3g5m,GRU,Random-Scalar,2024,5,ok,0.49243632881792715,0.7086362952536402,0.1600057952948807,0.009124911416333599,222044,0.4877418885790844,0.709520986031633,0.15809745969425537,0.009761312664707138,231280
xes3g5m,GRU,Standard,42,5,ok,0.4917287131043367,0.7101384126442021,0.15973004988929781,0.010415452109196699,222044,0.487046174615078,0.710954551060893,0.15783099622779917,0.009430708773807812,231280
xes3g5m,GRU,Standard,123,5,ok,0.4914542839468137,0.7105927757711265,0.1596023233181696,0.010512915758688476,222044,0.4866114099249976,0.7115365427979627,0.1576414089269374,0.008411345053663885,231280
xes3g5m,GRU,Standard,456,5,ok,0.4930755414223575,0.7076281003274772,0.1601058383382554,0.01136517869592629,222044,0.48822301971930404,0.7084225889938724,0.15814197508773598,0.009411593269143113,231280
xes3g5m,GRU,Standard,789,5,ok,0.491878947536464,0.7101382805252339,0.15969913985012663,0.01380548096526309,222044,0.4869364796526493,0.7111603448794611,0.15771178982167325,0.010726412756878145,231280
xes3g5m,GRU,Standard,2024,5,ok,0.4928079129010133,0.7080159496982095,0.16008470391022914,0.009932557124509578,222044,0.4881473595115976,0.7087560216219035,0.15819154655082948,0.009935717563592938,231280
xes3g5m,SAKT,CharacterLength,42,5,ok,0.501384563514079,0.6943698141350185,0.16318292617306276,0.02169690637776909,222044,0.49630021310242617,0.6949679462997821,0.16113820708521095,0.017864078629487443,231280
xes3g5m,SAKT,CharacterLength,123,5,ok,0.5025185694700532,0.6932174597119143,0.16363360040280975,0.026916538163337996,222044,0.4973344724656659,0.6937732753038922,0.1615449736253875,0.02302599756104473,231280
xes3g5m,SAKT,CharacterLength,456,5,ok,0.5047669190481721,0.6928266650383607,0.1644640917426411,0.0357289221702485,222044,0.49936012247608563,0.6933370669765349,0.16228496515786706,0.03190725324027926,231280
xes3g5m,SAKT,CharacterLength,789,5,ok,0.5023034165251076,0.6921868927347244,0.16363467561601922,0.017318239677112584,222044,0.4973819000101321,0.6926589306458498,0.16165133726336936,0.013893595691068026,231280
xes3g5m,SAKT,CharacterLength,2024,5,ok,0.5014756717514814,0.695078594110046,0.1633477125164276,0.025722715328606472,222044,0.49634892018997073,0.6955736898050019,0.16126681978966562,0.02182174809728061,231280
xes3g5m,SAKT,LLM-5.4,42,5,ok,0.5008227823607652,0.6955533262377491,0.1629648443632568,0.02236763379771433,222044,0.49571306083240263,0.6961935886170924,0.1609111671959343,0.018577812812431226,231280
xes3g5m,SAKT,LLM-5.4,123,5,ok,0.5020719690990689,0.6941863069398063,0.16346221995028154,0.02721130423123934,222044,0.4968730500882156,0.6947756212747286,0.16136883338847627,0.02335422197843261,231280
xes3g5m,SAKT,LLM-5.4,456,5,ok,0.504199959426749,0.6941345888113243,0.16425154779124557,0.036242632789033676,222044,0.498772267853753,0.6946956301445635,0.16206527965193468,0.03246949405342711,231280
xes3g5m,SAKT,LLM-5.4,789,5,ok,0.5017298375338171,0.6932612751918188,0.1634174888905053,0.017521802163238898,222044,0.49679979828706,0.6937611481855915,0.1614306199363071,0.013723029681220134,231280
xes3g5m,SAKT,LLM-5.4,2024,5,ok,0.5010216964893772,0.695994320067554,0.16316583718747393,0.02590655440527059,222044,0.49588028660382333,0.6965290617315032,0.16108017954363296,0.0220479305885121,231280
xes3g5m,SAKT,LLM-Mini,42,5,ok,0.5010272865834614,0.695114599639571,0.16303312998334993,0.022346411780556585,222044,0.49592902706288877,0.6957258234236715,0.16098385335914728,0.01853134733915012,231280
xes3g5m,SAKT,LLM-Mini,123,5,ok,0.502333226770153,0.6936368798602796,0.16355524228575113,0.027148451851658918,222044,0.49714187945013805,0.6942012649996894,0.16146438743353136,0.023268981601569996,231280
xes3g5m,SAKT,LLM-Mini,456,5,ok,0.5044337410167313,0.6937054059421952,0.16432138501125576,0.036407473196293234,222044,0.4990135613112901,0.6942295849555435,0.1621385686064235,0.03260410232601519,231280
xes3g5m,SAKT,LLM-Mini,789,5,ok,0.5019176794434785,0.6928970369964609,0.16347858915506924,0.017660017988985185,222044,0.4969924765728266,0.693374874244009,0.16149403470189502,0.013941548494812188,231280
xes3g5m,SAKT,LLM-Mini,2024,5,ok,0.5012671315562146,0.6954442241357506,0.16325025730093698,0.025888445089046738,222044,0.49613759493118914,0.695947108735173,0.1611687845705147,0.022001065724809254,231280
