run_id,dataset,exposure,condition,seed,brier,ece
pilot_junyi_10_LLM-Mini_2024,junyi,10,LLM-Mini,2024,0.2006404647415476,0.0804933388849541
pilot_junyi_10_LLM-5.4_2024,junyi,10,LLM-5.4,2024,0.2006422751202604,0.0802859811424308
pilot_junyi_10_Random-Scalar_2024,junyi,10,Random-Scalar,2024,0.2007313924461994,0.0809716866639555
pilot_junyi_10_TrainEmpDiff_2024,junyi,10,TrainEmpDiff,2024,0.2005806757797701,0.0806018719987415
pilot_junyi_20_Standard_2024,junyi,20,Standard,2024,0.1977778149606188,0.0711401261874204
pilot_junyi_20_LLM-Mini_2024,junyi,20,LLM-Mini,2024,0.1980786830612372,0.0813477365758024
pilot_junyi_20_LLM-5.4_2024,junyi,20,LLM-5.4,2024,0.1980726769895498,0.0816287546711438
pilot_junyi_20_Random-Scalar_2024,junyi,20,Random-Scalar,2024,0.1981218017992888,0.0806375475434278
pilot_junyi_20_TrainEmpDiff_2024,junyi,20,TrainEmpDiff,2024,0.1979878762580244,0.0821984814298661
pilot_junyi_warm_Standard_2024,junyi,warm,Standard,2024,0.1995366855300302,0.0369116351558733
pilot_junyi_warm_LLM-Mini_2024,junyi,warm,LLM-Mini,2024,0.1994530471862774,0.048968038268781
pilot_junyi_warm_LLM-5.4_2024,junyi,warm,LLM-5.4,2024,0.1993995646849338,0.0473484209826274
pilot_junyi_warm_Random-Scalar_2024,junyi,warm,Random-Scalar,2024,0.1994926525660554,0.0506658231122375
pilot_junyi_warm_TrainEmpDiff_2024,junyi,warm,TrainEmpDiff,2024,0.1993239991381827,0.0476006031753919
junyi_0_Standard_2024,junyi,0,Standard,2024,0.2496831251006,0.2228898394371876
junyi_0_Standard_42,junyi,0,Standard,42,0.2423413382693023,0.2093255308262502
junyi_0_Standard_123,junyi,0,Standard,123,0.2445956891560459,0.204363927560766
junyi_0_Standard_456,junyi,0,Standard,456,0.2675097274262452,0.2646932201566157
junyi_0_Standard_789,junyi,0,Standard,789,0.2505081973321671,0.2242901040443684
junyi_0_LLM-Mini_2024,junyi,0,LLM-Mini,2024,0.2539211545899582,0.2337652291224915
junyi_0_LLM-Mini_42,junyi,0,LLM-Mini,42,0.2398975938653061,0.2022896724421024
junyi_0_LLM-Mini_123,junyi,0,LLM-Mini,123,0.2684179316780179,0.2556182261315257
junyi_0_LLM-Mini_456,junyi,0,LLM-Mini,456,0.256494918446174,0.2433373519819818
junyi_0_LLM-Mini_789,junyi,0,LLM-Mini,789,0.2536953887570761,0.2311097802962466
junyi_0_LLM-5.4_2024,junyi,0,LLM-5.4,2024,0.2532551866575323,0.2311980040991609
junyi_0_LLM-5.4_42,junyi,0,LLM-5.4,42,0.2417290467362497,0.2069052828231816
junyi_0_LLM-5.4_123,junyi,0,LLM-5.4,123,0.271145703719885,0.2611778489583896
junyi_0_LLM-5.4_456,junyi,0,LLM-5.4,456,0.2552919082673784,0.2403919124489786
junyi_0_LLM-5.4_789,junyi,0,LLM-5.4,789,0.2547259980278174,0.2335971933880609
junyi_0_Random-Scalar_2024,junyi,0,Random-Scalar,2024,0.2547667870123333,0.2356319105246221
junyi_0_Random-Scalar_42,junyi,0,Random-Scalar,42,0.2375548391910544,0.1980293998385335
junyi_0_Random-Scalar_123,junyi,0,Random-Scalar,123,0.2652749539656328,0.2504146538097075
junyi_0_Random-Scalar_456,junyi,0,Random-Scalar,456,0.2580761241441916,0.2460631459332928
junyi_0_Random-Scalar_789,junyi,0,Random-Scalar,789,0.2524491300386086,0.2288079211081702
junyi_0_TrainEmpDiff_2024,junyi,0,TrainEmpDiff,2024,0.2552229101719298,0.2368747584152718
junyi_0_TrainEmpDiff_42,junyi,0,TrainEmpDiff,42,0.2363809667886519,0.1947844085422384
junyi_0_TrainEmpDiff_123,junyi,0,TrainEmpDiff,123,0.263329513625555,0.2465150299575211
junyi_0_TrainEmpDiff_456,junyi,0,TrainEmpDiff,456,0.258988839051655,0.2481490159984558
junyi_0_TrainEmpDiff_789,junyi,0,TrainEmpDiff,789,0.2516711326988539,0.2270591220417775
junyi_1_Standard_2024,junyi,1,Standard,2024,0.2295255510904193,0.1822872037894296
junyi_1_Standard_42,junyi,1,Standard,42,0.2245301822151107,0.1670176913057173
junyi_1_Standard_123,junyi,1,Standard,123,0.2249122014343772,0.1607492071648723
junyi_1_Standard_456,junyi,1,Standard,456,0.2472053220923847,0.2273058831667433
junyi_1_Standard_789,junyi,1,Standard,789,0.2348952946290949,0.1907031922332697
junyi_1_LLM-Mini_2024,junyi,1,LLM-Mini,2024,0.2331235999168687,0.1912636766341094
junyi_1_LLM-Mini_42,junyi,1,LLM-Mini,42,0.2224715216256469,0.1595896166671588
junyi_1_LLM-Mini_123,junyi,1,LLM-Mini,123,0.243139191801174,0.2085007720509983
junyi_1_LLM-Mini_456,junyi,1,LLM-Mini,456,0.237281654970722,0.2049285311712304
junyi_1_LLM-Mini_789,junyi,1,LLM-Mini,789,0.2372143439385119,0.1963244459898144
junyi_1_LLM-5.4_2024,junyi,1,LLM-5.4,2024,0.2327172276546021,0.1900012799515351
junyi_1_LLM-5.4_42,junyi,1,LLM-5.4,42,0.223936650762754,0.1643042851803005
junyi_1_LLM-5.4_123,junyi,1,LLM-5.4,123,0.2454741759525293,0.2142642432363113
junyi_1_LLM-5.4_456,junyi,1,LLM-5.4,456,0.2364706709052892,0.2024898424704149
junyi_1_LLM-5.4_789,junyi,1,LLM-5.4,789,0.2382480231141029,0.1992221138174819
junyi_1_Random-Scalar_2024,junyi,1,Random-Scalar,2024,0.2336468156544944,0.1923169715124534
junyi_1_Random-Scalar_42,junyi,1,Random-Scalar,42,0.2204540431821625,0.155267564089099
junyi_1_Random-Scalar_123,junyi,1,Random-Scalar,123,0.2403716394309212,0.2030152788681985
junyi_1_Random-Scalar_456,junyi,1,Random-Scalar,456,0.2384226007962553,0.2071840003692431
junyi_1_Random-Scalar_789,junyi,1,Random-Scalar,789,0.2359506518576048,0.1936557419686567
junyi_1_TrainEmpDiff_2024,junyi,1,TrainEmpDiff,2024,0.2328160671234704,0.1905164847416078
junyi_1_TrainEmpDiff_42,junyi,1,TrainEmpDiff,42,0.2230315484925375,0.1623344662285439
junyi_1_TrainEmpDiff_123,junyi,1,TrainEmpDiff,123,0.2441911873692128,0.2118000893609447
junyi_1_TrainEmpDiff_456,junyi,1,TrainEmpDiff,456,0.2366960051221263,0.2033793215428917
junyi_1_TrainEmpDiff_789,junyi,1,TrainEmpDiff,789,0.2377194293467927,0.1979012535978281
junyi_3_Standard_2024,junyi,3,Standard,2024,0.2069304933132436,0.1158771109778793
junyi_3_Standard_42,junyi,3,Standard,42,0.2069283799766013,0.1117892975227735
junyi_3_Standard_123,junyi,3,Standard,123,0.2040466004059138,0.0978373116002625
junyi_3_Standard_456,junyi,3,Standard,456,0.216147501444941,0.1501670618051889
