dataset,response_limit,condition,test_log_loss_mean,test_log_loss_std,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std
junyi,5,Random-Scalar,0.5835566398487947,0.005595983936504989,0.5640047366586809,0.0123367128869709,0.19752336839035617,0.0024542695865108007,0.036323339361531336,0.012090596912706263
junyi,5,Standard,0.582342776703717,0.0049085994012826135,0.5654760750982952,0.011535451924954665,0.19698296075614738,0.0021010290160373914,0.03410277226716132,0.011361702710185257
junyi,5,TrainEmpDiff,0.5836962567873245,0.006240903697851321,0.5636560730858706,0.014882757469285069,0.19757764143360018,0.002720456190432194,0.036660333707364455,0.012838835498615093
junyi,warm,CharacterLength,0.4792770406677168,0.0012115884120752181,0.7731000118909357,0.001243920448887119,0.1554891927259172,0.00047807962445736886,0.01312885873186288,0.004152170879644389
junyi,warm,LLM-5.4,0.4792771247515927,0.001202805995737713,0.7731103147710279,0.0012264096974951785,0.15549005101291294,0.0004740559293750827,0.01312894652375712,0.004174614770385616
junyi,warm,LLM-Mini,0.47926484804911107,0.001188635778014138,0.7731164584623538,0.0012228517334507514,0.15548117938814687,0.0004654284185714975,0.013177072130574802,0.004291943502734426
junyi,warm,Random-Scalar,0.47925918726807365,0.001227851558910138,0.7731189219647726,0.0012868796890638853,0.1554867216587305,0.0004794094406174382,0.012872302809843661,0.004339534871220559
junyi,warm,Standard,0.4794717162699292,0.0013395384180637396,0.7737621639053802,0.0004326155333021514,0.15552473292536234,0.00042202286937305047,0.01841645246007366,0.0069987213843062356
junyi,warm,TrainEmpDiff,0.4791647467517894,0.0012069030537080144,0.7732286511985199,0.0012437892716805929,0.15546197154312072,0.0004788717721155911,0.01318720390431414,0.004412578553529136
xes3g5m,1,CharacterLength,0.5529293486868616,0.0015639705973898774,0.5001618767880696,0.005821887995067601,0.1816917891095231,0.0005201943612217521,0.049484744963710636,0.0036765429180795543
xes3g5m,1,LLM-5.4,0.5527895969129579,0.0014989454172231245,0.5007421876626087,0.005534779628077178,0.1816361696148699,0.0004964957370967298,0.04910661043094764,0.0035402119303320065
xes3g5m,1,LLM-Mini,0.5528184013587356,0.0014943513887283508,0.5006600304500631,0.005425575435531968,0.18166797535984452,0.0005016255232659231,0.04937416822926902,0.003566201892772829
xes3g5m,1,Random-Scalar,0.5529724580573949,0.0015393277042941701,0.49981019979446667,0.006093104469544883,0.1817209103388628,0.0005139094429914043,0.04972194012933554,0.003710726876803942
xes3g5m,1,Standard,0.5529893272717243,0.0014140499619752238,0.49928735902352306,0.006102881245054932,0.18174933853515238,0.0005337905306303034,0.04985524482710656,0.0030613345720575487
xes3g5m,1,TrainEmpDiff,0.5522683062906709,0.0014980799834290188,0.5031805048215556,0.005542283804116007,0.18155652716078707,0.0005163809317183244,0.04857910562508948,0.0037314269608913126
xes3g5m,10,CharacterLength,0.5438000352358631,0.0017085056373572387,0.514494573220649,0.00423551219341699,0.1784816586986705,0.00044492451049331187,0.024596845616017222,0.010015887879511498
xes3g5m,10,LLM-5.4,0.5437469495962727,0.0017499618837694872,0.5154386773132378,0.004162518464635497,0.17845804730236106,0.0004570415631714173,0.0249010282866231,0.010070098406798969
xes3g5m,10,LLM-Mini,0.5436845498948439,0.0016947495813480846,0.5153402261044169,0.004041981711149915,0.17844421180089287,0.0004431141573437226,0.024593733488606197,0.009960342081496341
xes3g5m,10,Random-Scalar,0.543829460211058,0.0016966732596625023,0.5139254769880361,0.004339629620523564,0.17849489102807525,0.00044020331891590764,0.0245618901249963,0.009684083993741772
xes3g5m,10,Standard,0.5436401921088257,0.0004856537055713434,0.5138296340760571,0.003960421754306499,0.17844003074108822,0.000109073436697567,0.02574223407940106,0.004019923398218793
xes3g5m,10,TrainEmpDiff,0.5405742771395092,0.0014631257369434134,0.5467894119330656,0.014618999323708172,0.17731293616006255,0.0005018950619796266,0.03059239388445134,0.008066883763479957
xes3g5m,20,CharacterLength,0.5412396839672056,0.0011517669126030804,0.5324837079051348,0.014944200865270242,0.1775995139292686,0.00041613697314956137,0.025984847646906277,0.009480682548994679
xes3g5m,20,LLM-5.4,0.5412139059345468,0.0011420907949634298,0.5337639137255018,0.015293698444354045,0.17758159079012786,0.00041136285880702107,0.02675009348902966,0.009904505404911071
xes3g5m,20,LLM-Mini,0.5411171012349921,0.0011680668363441887,0.5335951403995949,0.01529772466649306,0.1775574840865331,0.00042579414354728984,0.026265641480983183,0.009586601983867142
xes3g5m,20,Random-Scalar,0.5412451087786931,0.0011597690452294315,0.5319845358367058,0.014826585641688893,0.17760442787482342,0.00041727153540230597,0.025650723940853538,0.009306221660764443
xes3g5m,20,Standard,0.5415369883804251,0.0019337947770192666,0.5316473086429326,0.012819898823576648,0.17770185775562117,0.0006409904948902963,0.02776821365940118,0.007957821896346116
xes3g5m,20,TrainEmpDiff,0.5361482949437125,0.0016900562458399293,0.582845042347653,0.00838621132837707,0.1756432828726967,0.0005001041420187127,0.03751922915813026,0.008385897603969697
xes3g5m,3,CharacterLength,0.5477914831803661,0.0011366795399459623,0.5038458009615373,0.005795589611458691,0.17977034369832778,0.0003174376663830889,0.03657674377791216,0.0037856192110761033
xes3g5m,3,LLM-5.4,0.54766642916993,0.0011628972284938757,0.5048051294154074,0.005384221549698093,0.1797232790791052,0.00031377839792572586,0.03634154796198298,0.004069048746683453
xes3g5m,3,LLM-Mini,0.5476891648365574,0.001124740179129106,0.5046254439420268,0.005188342652313756,0.17974004533626353,0.00030508817523460614,0.0363900691102281,0.003977604444396588
xes3g5m,3,Random-Scalar,0.5478201229614961,0.001132544253579983,0.503433330352214,0.0061407535766897624,0.17979011972290987,0.00032608484555253584,0.03660298973311602,0.0037675511283873533
xes3g5m,3,Standard,0.5470591178768173,0.0030297505923217523,0.5034224833461859,0.008062318712297836,0.1795437047337621,0.0008152712532942728,0.033704432649276916,0.007760604108613097
xes3g5m,3,TrainEmpDiff,0.5454185492757342,0.001111024053244026,0.5177150653999505,0.007077912107668274,0.17899362850542086,0.00029407633328107607,0.03218161185646046,0.00579520826310407
xes3g5m,5,CharacterLength,0.5452876492290379,0.0008209882167077302,0.5056178339227393,0.0056911764798314324,0.17906296794512672,0.0002557456853154538,0.02841206285351286,0.0026149072119637917
xes3g5m,5,LLM-5.4,0.545194610228178,0.0007694412285953842,0.5064879041764584,0.005253337000475654,0.1790259754172318,0.00022870229226629743,0.02826211768233084,0.0023121464815103274
xes3g5m,5,LLM-Mini,0.5451876310396285,0.0007297311623189153,0.5064447722001348,0.005084543648399295,0.179030912273681,0.00022330987799386193,0.02817132047125926,0.00231972739161498
xes3g5m,5,Random-Scalar,0.5455300546165558,0.0008916270991793502,0.5070710493953062,0.004837884145945774,0.17908170068854903,0.00025886793920707314,0.02921928979489926,0.0037228401642267713
xes3g5m,5,Standard,0.5451396760115471,0.0013094391597294332,0.5085343559016713,0.0029123667008659547,0.1789960706423655,0.00029620797938432623,0.02749133180261208,0.003751142350871024
xes3g5m,5,TrainEmpDiff,0.5429150583792671,0.0005640152399760125,0.5266945701578081,0.01159168503305105,0.17819217086398348,0.00027303860603926394,0.027240313807626683,0.005320106239497542
xes3g5m,warm,CharacterLength,0.4620676597522678,0.0006605854699218159,0.7583956040576365,0.0006383409877977042,0.14931268697873973,0.00031527646028091334,0.0202699317590023,0.0030986479151358247
xes3g5m,warm,LLM-5.4,0.4620229250463394,0.0006650056386070228,0.7585026789762604,0.0006190652635193012,0.14929476454082904,0.00031706978111505616,0.020500758552652498,0.0030863074263673697
xes3g5m,warm,LLM-Mini,0.4620907762443923,0.0006513032131788825,0.7583955205486467,0.0006504092554856976,0.1493164576932216,0.00031268274003992376,0.020518935162345882,0.003048191102545765
xes3g5m,warm,Random-Scalar,0.4621267176280712,0.0006264938527286575,0.7583025256299617,0.0006294850137698785,0.14933303546516172,0.0003026000834343768,0.02028709968155106,0.003059708191262301
xes3g5m,warm,Standard,0.46177932904079677,0.0010587222379433439,0.7583677315520496,0.0007889930982496564,0.14915961781963621,0.00040065347646899864,0.017653588361133482,0.005805732957542157
xes3g5m,warm,TrainEmpDiff,0.46114913380436995,0.0006694664848179242,0.7598947415470523,0.0005809076268062997,0.1489606326721043,0.0003221269096835588,0.02108581847013512,0.0029219012838822426
