run_id,dataset,exposure,condition,seed,status,mask_hash,split_hash,universe_hash,log_loss,brier,auc,accuracy,ece,n_predictions,best_val_log_loss,best_epoch,n_parameters,deployable,config_hash,code_commit,start_time_utc,wall_time_s
pilot_xes3g5m_20_LLM-Mini_2024,xes3g5m,20,LLM-Mini,2024,ok,493cd340fad13f96e8c9b8b803de831f23d77316113bd9b1f9fde12d70ca91a3,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5623980888120044,0.1879619417205536,0.5676958176181396,0.746,0.0082106124311685,12000.0,0.5215126474698385,6.0,178146.0,True,,,,
pilot_xes3g5m_20_LLM-5.4_2024,xes3g5m,20,LLM-5.4,2024,ok,493cd340fad13f96e8c9b8b803de831f23d77316113bd9b1f9fde12d70ca91a3,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5623995964733073,0.1879618042118865,0.5678393726881661,0.7459166666666667,0.0088946217695872,12000.0,0.5216822425524393,6.0,178146.0,True,,,,
pilot_xes3g5m_20_Random-Scalar_2024,xes3g5m,20,Random-Scalar,2024,ok,493cd340fad13f96e8c9b8b803de831f23d77316113bd9b1f9fde12d70ca91a3,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5622512076219575,0.1879024754487036,0.5683669934606029,0.746,0.0079330215553442,12000.0,0.521336833635966,6.0,178146.0,True,,,,
pilot_xes3g5m_20_TrainEmpDiff_2024,xes3g5m,20,TrainEmpDiff,2024,ok,493cd340fad13f96e8c9b8b803de831f23d77316113bd9b1f9fde12d70ca91a3,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5624944690756395,0.1879979117151616,0.5671847623018302,0.7459166666666667,0.0091446047524611,12000.0,0.5218506654103597,6.0,178146.0,True,,,,
pilot_xes3g5m_warm_Standard_2024,xes3g5m,warm,Standard,2024,ok,b7ce2184412741fed3600fe102e52b08e7d319f2598d981a608bbbe57231a401,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5618091466287304,0.1878146230621516,0.5808527295766983,0.7459166666666667,0.0248768798286715,12000.0,0.5162729024887085,6.0,178145.0,True,,,,
pilot_xes3g5m_warm_LLM-Mini_2024,xes3g5m,warm,LLM-Mini,2024,ok,b7ce2184412741fed3600fe102e52b08e7d319f2598d981a608bbbe57231a401,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5635733490536362,0.1884308722464262,0.5838596347331584,0.746,0.0379199562321106,12000.0,0.5140863259633383,6.0,178146.0,True,,,,
pilot_xes3g5m_warm_LLM-5.4_2024,xes3g5m,warm,LLM-5.4,2024,ok,b7ce2184412741fed3600fe102e52b08e7d319f2598d981a608bbbe57231a401,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5634904856055113,0.1884018399631054,0.5839260065053866,0.746,0.0374253620555003,12000.0,0.5141019026438395,6.0,178146.0,True,,,,
pilot_xes3g5m_warm_Random-Scalar_2024,xes3g5m,warm,Random-Scalar,2024,ok,b7ce2184412741fed3600fe102e52b08e7d319f2598d981a608bbbe57231a401,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5634641138258351,0.1883899096060895,0.5844103445263041,0.746,0.0375780295530955,12000.0,0.5139850179354349,6.0,178146.0,True,,,,
pilot_xes3g5m_warm_TrainEmpDiff_2024,xes3g5m,warm,TrainEmpDiff,2024,ok,b7ce2184412741fed3600fe102e52b08e7d319f2598d981a608bbbe57231a401,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5636312316317175,0.1884505774878832,0.582796421978754,0.746,0.0372608382006486,12000.0,0.5143001675605774,6.0,178146.0,True,,,,
pilot_junyi_1_Standard_2024,junyi,1,Standard,2024,ok,16cbbc8c805aed55b7875ad47a6b877c77ef638f90c6e5615ba4ff462b6d2a70,b1c02511994fb686bba373876d08068f8a043e4e82b7c65e87138e65af5c800d,bf2eeebdb8379ddb5078b8e70df6d742290011768fae59ea62c10362b0097b6a,0.6341343009255135,0.2209687339277955,0.5742507389079502,0.7000612119975516,0.1450651229352178,4901.0,0.6428002119064331,6.0,12609.0,True,,,,
