dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
xes3g5m,5,log_loss,LLM-Mini,Standard,0.0010745729961892936,-0.0014569557402027804,0.0036061017325813675,0.3720682627510332,5,0.4522090637316081,1.0
xes3g5m,5,auc,LLM-Mini,Standard,-0.0028572156803841064,-0.004509222108067333,-0.0012052092527008802,-1.5160029869528384,5,0.027532446954770355,1.0
xes3g5m,5,brier,LLM-Mini,Standard,0.00042711183028408263,-0.0004632866663231791,0.0013175103268913443,0.4204593132736412,5,0.4003548599441051,1.0
xes3g5m,5,log_loss,LLM-5.4,Standard,0.0007681665638555213,-0.0017009292933451417,0.003237262421056184,0.2727011543096338,5,0.5749474551513603,1.0
xes3g5m,5,auc,LLM-5.4,Standard,-0.002058046564748883,-0.003658880710283839,-0.00045721241921392727,-1.1268796828165508,5,0.06537116205266877,1.0
xes3g5m,5,brier,LLM-5.4,Standard,0.00032201707564460393,-0.0005539639929101222,0.00119799814419933,0.3222188214039268,5,0.5110693800974728,1.0
xes3g5m,5,log_loss,LLM-Mini,Random-Scalar,0.0001515863689448782,-1.6216214950331157e-05,0.0003193889528400875,0.7917897766427414,5,0.1513357301926253,1.0
xes3g5m,5,auc,LLM-Mini,Random-Scalar,-0.0018753182859883922,-0.0035333405509998146,-0.0002172960209769698,-0.991410247031113,5,0.09092799158315894,1.0
xes3g5m,5,brier,LLM-Mini,Random-Scalar,5.414814817431557e-05,-4.208958746008932e-06,0.00011250525509464007,0.8131968678293112,5,0.14310358895882547,1.0
xes3g5m,5,log_loss,LLM-5.4,Random-Scalar,-0.00015482006338889408,-0.0002235625902604072,-8.607753651738099e-05,-1.9738649916569269,5,0.011562299791714829,1.0
xes3g5m,5,auc,LLM-5.4,Random-Scalar,-0.0010761491703531688,-0.0026570322008608645,0.0005047338601545271,-0.5966798868809521,5,0.25302188483875726,1.0
xes3g5m,5,brier,LLM-5.4,Random-Scalar,-5.094660646516313e-05,-6.452638666261612e-05,-3.7366826267710144e-05,-3.286346521309127,5,0.0018218005694510154,0.2022198632090627
xes3g5m,5,log_loss,LLM-Mini,TrainEmpDiff,0.003639776160779573,0.0029994317623408297,0.004280120559218317,4.982257685664006,5,0.0003694099007821779,0.04469859799464353
xes3g5m,5,auc,LLM-Mini,TrainEmpDiff,-0.015041860644053773,-0.017090903398841513,-0.012992817889266034,-6.434573289248857,5,0.00013560231815260736,0.01708589208722853
xes3g5m,5,brier,LLM-Mini,TrainEmpDiff,0.001225290058543277,0.001001141606432898,0.001449438510653656,4.79134289010174,5,0.0004300355402480393,0.0503141582090206
xes3g5m,5,log_loss,LLM-5.4,TrainEmpDiff,0.0033333697284458007,0.002488306823581977,0.0041784326333096245,3.457490642724984,5,0.001507297482848582,0.17183191304473835
xes3g5m,5,auc,LLM-5.4,TrainEmpDiff,-0.01424269152841855,-0.016336785765632494,-0.012148597291204606,-5.961631089310385,5,0.00018307295939729736,0.02288411992466217
xes3g5m,5,brier,LLM-5.4,TrainEmpDiff,0.0011201953039037982,0.0008317533573641588,0.0014086372504434376,3.4040286110046125,5,0.0015988124688273218,0.18066580897748735
xes3g5m,10,log_loss,LLM-Mini,Standard,-0.0003785761705068058,-0.005135015450088383,0.004377863109074771,-0.06976564049756555,5,0.883588684838032,1.0
xes3g5m,10,auc,LLM-Mini,Standard,-0.0027815633019611986,-0.008848485494942595,0.0032853588910201977,-0.401874976075595,5,0.4196581581131835,1.0
xes3g5m,10,brier,LLM-Mini,Standard,-3.953970956360187e-05,-0.0017891851834499334,0.0017101057643227298,-0.019808532882000233,5,0.9667934851255569,1.0
xes3g5m,10,log_loss,LLM-5.4,Standard,-0.00019577708939508832,-0.004924910416787067,0.004533356237996891,-0.036286958970685304,5,0.9392281327490325,1.0
xes3g5m,10,auc,LLM-5.4,Standard,-0.004092597103011309,-0.011068869876962383,0.002883675670939767,-0.5142165647842569,5,0.31428613815713285,1.0
xes3g5m,10,brier,LLM-5.4,Standard,4.6406757876060746e-05,-0.0017276040861571504,0.0018204176019092717,0.022929462872168946,5,0.9615669774545835,1.0
xes3g5m,10,log_loss,LLM-Mini,Random-Scalar,0.0002388657709387454,-6.081335915557052e-05,0.0005385449010330613,0.6986437653090278,5,0.19325845533881214,1.0
xes3g5m,10,auc,LLM-Mini,Random-Scalar,-0.001748357756154606,-0.003449154817959852,-4.756069434936022e-05,-0.9010453267888107,5,0.11417117181922207,1.0
xes3g5m,10,brier,LLM-Mini,Random-Scalar,9.509305047767924e-05,-5.496265369178444e-06,0.00019568236632453692,0.8285718057443495,5,0.1375259323376817,1.0
xes3g5m,10,log_loss,LLM-5.4,Random-Scalar,0.0004216648520504629,-0.00039937199807207863,0.0012427017021730043,0.4501644390981774,5,0.37107291072389575,1.0
xes3g5m,10,auc,LLM-5.4,Random-Scalar,-0.003059391557204716,-0.006910824676998396,0.0007920415625889644,-0.6962781775481591,5,0.19447789733101412,1.0
xes3g5m,10,brier,LLM-5.4,Random-Scalar,0.00018103951791734185,-0.00011369170911224426,0.00047577074494692796,0.5384004146182019,5,0.29498587794055187,1.0
xes3g5m,10,log_loss,LLM-Mini,TrainEmpDiff,0.004210896602342529,0.0027771620286103785,0.005644631176074679,2.5743893697883484,5,0.004516680885322013,0.4697348120734894
xes3g5m,10,auc,LLM-Mini,TrainEmpDiff,-0.011546215315653785,-0.015789125439631478,-0.0073033051916760895,-2.38531638636813,5,0.005950270578303618,0.6009773284086655
